time , step-size , {ct}.ct.gpsVelX , {ct}.ct.gpsVelY , {ct}.ct.gpsVelZ , {ct}.ct.gpsX , {ct}.ct.gpsY , {ct}.ct.gpsZ , {de}.de.motor1 , {de}.de.motor2 , {de}.de.motor3 , {de}.de.motor4
0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 100.0 , 100.0 , 100.0 , 100.0
0.0025 , 0.0025 , -1.599584855503749E-25 , -7.888921746141082E-29 , 0.022700464643068054 , -3.949129313347016E-29 , -1.9476536059460995E-32 , 2.9792316379696674E-5 , 100.0 , 100.0 , 100.0 , 100.0
0.005 , 0.0025 , -4.568125175155441E-23 , -2.2529334351586597E-26 , 0.028685635880273903 , -2.9105732311136273E-26 , -1.4354527287292504E-29 , 9.838791018570956E-5 , 100.0 , 100.0 , 100.0 , 100.0
0.0075 , 0.0024999999999999996 , -4.475175501888902E-22 , -2.207091997225179E-25 , 0.02285297759407946 , -5.203417801937399E-25 , -2.5662505937538473E-28 , 1.6330419878525464E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.01 , 0.0025000000000000005 , -1.6732363259948804E-21 , -8.252160173407746E-25 , 0.018647960811402887 , -2.959673313666628E-24 , -1.4596681811109693E-27 , 2.144718174020598E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.0125 , 0.0025000000000000005 , -4.1083937789952344E-21 , -2.0262005428039184E-24 , 0.016826432026264146 , -9.89273550893911E-24 , -4.8789544372570416E-27 , 2.585688129971627E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.015 , 0.0024999999999999988 , -8.169746660068933E-21 , -4.029201193379904E-24 , 0.015383919158033192 , -2.486416542755432E-23 , -1.2262647690504019E-26 , 2.9886776272617906E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.0175 , 0.0025000000000000022 , -1.422804579790218E-20 , -7.017066929207287E-24 , 0.01369742174148327 , -5.2397732354705154E-23 , -2.5841805690973222E-26 , 3.3526516004501935E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.02 , 0.0024999999999999988 , -2.274221055205235E-20 , -1.1216130157902991E-23 , 0.011890951978162314 , -9.80530860511999E-23 , -4.835836749541797E-26 , 3.672572252177328E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.0225 , 0.0024999999999999988 , -3.412597703431429E-20 , -1.6830439561115373E-23 , 0.010089405315914316 , -1.6850707221326812E-22 , -8.310525707891716E-26 , 3.94727609024015E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.025 , 0.0025000000000000022 , -4.8704369744156644E-20 , -2.4020292533075472E-23 , 0.008306928880521473 , -2.713451547081735E-22 , -1.3382351579048872E-25 , 4.1772072873239626E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.0275 , 0.0024999999999999988 , -6.68774702148228E-20 , -3.298300351427537E-23 , 0.0065287020822381685 , -4.150250347071855E-22 , -2.0468435983431318E-25 , 4.3626541676938894E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.03 , 0.0024999999999999988 , -8.908297341086387E-20 , -4.3934437346904767E-23 , 0.004748761903408989 , -6.090867198298113E-22 , -3.003927833411447E-25 , 4.5036262598702686E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.0325 , 0.0025000000000000022 , -1.157894323980607E-19 , -5.710567764351111E-23 , 0.0029677451291045785 , -8.64194040926512E-22 , -4.262080338466118E-25 , 4.600083366866186E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.035 , 0.0025000000000000022 , -1.4742770444966496E-19 , -7.270921699557791E-23 , 0.0011867009537259417 , -1.1921443682766935E-21 , -5.879484041798987E-25 , 4.6520135821781245E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.0375 , 0.0024999999999999953 , -1.8439563439171843E-19 , -9.09412667318729E-23 , -5.941909660501508E-4 , -1.605768383337906E-21 , -7.919418013363735E-25 , 4.659419748961935E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.04 , 0.0025000000000000022 , -2.271470399300477E-19 , -1.1202564319799104E-22 , -0.0023750390743686378 , -2.1189403288698163E-21 , -1.0450308016908612E-24 , 4.622304372542219E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.0425 , 0.0025000000000000022 , -2.7617168285248267E-19 , -1.3620388984223056E-22 , -0.004155898287383044 , -2.7467350586858085E-21 , -1.3546501056694828E-24 , 4.54066768608866E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.045 , 0.0024999999999999953 , -3.3190061721075047E-19 , -1.6368859630438033E-22 , -0.0059367668868909535 , -3.505381655556101E-21 , -1.7288036627685953E-24 , 4.4145093795271135E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.0475 , 0.0025000000000000022 , -3.9480352197992036E-19 , -1.947114014792061E-22 , -0.007717636292997676 , -4.412218007545231E-21 , -2.1760422692597362E-24 , 4.2438293373716816E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.05 , 0.0025000000000000022 , -4.653547504781996E-19 , -2.295062495800757E-22 , -0.00949850451987955 , -5.485771535922286E-21 , -2.7055033820303423E-24 , 4.0286275753804464E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.0525 , 0.0024999999999999953 , -5.440066766116788E-19 , -2.68296244891383E-22 , -0.011279372319432107 , -6.74574345171586E-21 , -3.326903354143774E-24 , 3.7689041147675345E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.055 , 0.0025000000000000022 , -6.311810273340254E-19 , -3.112893770627096E-22 , -0.013060240182012144 , -8.212913157688576E-21 , -4.050490287272277E-24 , 3.4646589587387553E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.0575 , 0.0025000000000000022 , -7.2730285952404425E-19 , -3.5869527801467606E-22 , -0.014841108124322173 , -9.909103046326786E-21 , -4.8870266705733406E-24 , 3.1158921049900443E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.06 , 0.0024999999999999953 , -8.328431998396107E-19 , -4.107462512997661E-22 , -0.016621976078117624 , -1.185727687830767E-20 , -5.847837899530427E-24 , 2.7226035524451303E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.0625 , 0.0025000000000000022 , -9.482324348513573E-19 , -4.676545573657221E-22 , -0.018402844023106574 , -1.4081524459069323E-20 , -6.944804718658403E-24 , 2.2847933011641485E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.065 , 0.0025000000000000022 , -1.0738956213598015E-18 , -5.2962982809455425E-22 , -0.020183711964095505 , -1.66069984580346E-20 , -8.190332061656205E-24 , 1.8024613513221632E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.0675 , 0.0025000000000000022 , -1.2102661440827246E-18 , -5.968858025769266E-22 , -0.021964579905343975 , -1.945992467981441E-20 , -9.597354117016125E-24 , 1.2756077029559798E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.07 , 0.0025000000000000022 , -1.3577927110852544E-18 , -6.696437771573548E-22 , -0.02374544784725248 , -2.2667627880714284E-20 , -1.117934706035242E-23 , 7.042323560492869E-5 , 100.0 , 100.0 , 100.0 , 100.0
0.0725 , 0.0024999999999999883 , -1.5169030440816212E-18 , -7.481146980148475E-22 , -0.02552631578929489 , -2.6258537820325038E-20 , -1.2950332038958518E-23 , 8.83353105923793E-6 , 100.0 , 100.0 , 100.0 , 100.0
0.075 , 0.0025000000000000022 , -1.6880341920523753E-18 , -8.325141114016045E-22 , -0.02730718373127455 , -3.0262158226156974E-20 , -1.4924859865612332E-23 , -5.720834334148698E-5 , 100.0 , 100.0 , 100.0 , 100.0
0.0775 , 0.0025000000000000022 , -1.8716255357955516E-18 , -9.230587135885692E-22 , -0.029088051673217995 , -3.4709095524950806E-20 , -1.7118025188444326E-23 , -1.2770238759710506E-4 , 100.0 , 100.0 , 100.0 , 100.0
0.08 , 0.0025000000000000022 , -2.0680771483502635E-18 , -1.0199458148270516E-21 , -0.030868919615161274 , -3.9631000325196225E-20 , -1.954543763095987E-23 , -2.0264860170757785E-4 , 100.0 , 100.0 , 100.0 , 100.0
