time , step-size , {ct}.ct.gpsVelX , {ct}.ct.gpsVelY , {ct}.ct.gpsVelZ , {ct}.ct.gpsX , {ct}.ct.gpsY , {ct}.ct.gpsZ , {de}.de.motor1 , {de}.de.motor2 , {de}.de.motor3 , {de}.de.motor4
0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0 , 0.0
0.1 , 0.1 , -3.739368676150748E-24 , -1.8442026857546262E-27 , 0.9810599736764578 , -9.132919397392465E-26 , -4.5042240923913387E-29 , 0.04905411493615007 , 100.0 , 100.0 , 100.0 , 100.0
0.2 , 0.1 , -4.496766705573306E-18 , -2.217740467400748E-21 , 0.9357634821453149 , -1.094253060524998E-19 , -5.396698234079306E-23 , 0.14617916944811657 , 100.0 , 100.0 , 100.0 , 100.0
0.30000000000000004 , 0.1 , -3.7998486438528853E-17 , -1.874030533322056E-20 , 0.8645287644673445 , -1.862620934350299E-18 , -9.186177740590173E-22 , 0.23619378177874953 , 100.0 , 100.0 , 100.0 , 100.0
0.4 , 0.1 , -1.3207784653152842E-16 , -6.513888851228987E-20 , 0.7932940467893742 , -9.72837727242639E-18 , -4.797895326093215E-21 , 0.3190849223415855 , 100.0 , 100.0 , 100.0 , 100.0
0.5 , 0.1 , -3.1871404076690673E-16 , -1.5718516703602616E-19 , 0.7220593291114039 , -3.1363418045401914E-17 , -1.5467985321339207E-20 , 0.3948525911366243 , 100.0 , 100.0 , 100.0 , 100.0
0.6 , 0.1 , -6.29886262926999E-16 , -3.1065081793584757E-19 , 0.6508246114334336 , -7.762238635663147E-17 , -3.828224114583459E-20 , 0.4634967881638661 , 100.0 , 100.0 , 100.0 , 100.0
0.7 , 0.1 , -1.0975737067941404E-15 , -5.413075182431716E-19 , 0.5795898937554633 , -1.625578446877032E-16 , -8.017118388875877E-20 , 0.5250175134233109 , 100.0 , 100.0 , 100.0 , 100.0
0.7999999999999999 , 0.1 , -1.7537555661506664E-15 , -8.649269449894167E-19 , 0.508355176077493 , -3.034202748984387E-16 , -1.4964250234243277E-19 , 0.5794147669149586 , 100.0 , 100.0 , 100.0 , 100.0
0.8999999999999999 , 0.1 , -2.630411034778914E-15 , -1.2972807752059985E-18 , 0.4371204583995227 , -5.206580782268933E-16 , -2.5678105300231967E-19 , 0.6266885486388094 , 100.0 , 100.0 , 100.0 , 100.0
0.9999999999999999 , 0.1 , -3.759519306461218E-15 , -1.854140685924336E-18 , 0.36588574072155233 , -8.37917575289356E-16 , -4.13248860067024E-19 , 0.666838858594863 , 100.0 , 100.0 , 100.0 , 100.0
1.0999999999999999 , 0.1 , -5.173059574980085E-15 , -2.551278354175929E-18 , 0.29465102304357416 , -1.2820430060804054E-15 , -6.3228511543832E-19 , 0.699865696783123 , 100.0 , 100.0 , 100.0 , 100.0
1.2 , 0.1 , -6.903011034117757E-15 , -3.404465456992147E-18 , 0.2234163053655948 , -1.8830765299727804E-15 , -9.287061787210872E-19 , 0.7257690632035844 , 100.0 , 100.0 , 100.0 , 100.0
1.3 , 0.1 , -8.981352877656574E-15 , -4.429473671404414E-18 , 0.1521815876876137 , -2.674258225717483E-15 , -1.3189055772233608E-18 , 0.7445489578562469 , 100.0 , 100.0 , 100.0 , 100.0
1.4000000000000001 , 0.1 , -1.144006429937889E-14 , -5.642074674444153E-18 , 0.08094687000963346 , -3.692026091443747E-15 , -1.8208540059563187E-18 , 0.7562053807411104 , 100.0 , 100.0 , 100.0 , 100.0
1.5000000000000002 , 0.1 , -1.431112449306704E-14 , -7.058040143142781E-18 , 0.009712152331653243 , -4.9760160446590455E-15 , -2.4540993276342802E-18 , 0.7607383318581752 , 100.0 , 100.0 , 100.0 , 100.0
1.6000000000000003 , 0.1 , -1.762651265250338E-14 , -8.69314175453173E-18 , -0.06152256534632715 , -6.569061922249081E-15 , -3.239766572674708E-18 , 0.7581478112074412 , 100.0 , 100.0 , 100.0 , 100.0
1.7000000000000004 , 0.1 , -2.1418207971470248E-14 , -1.056315118564241E-17 , -0.132757283024307 , -8.517195480477797E-15 , -4.20055793919821E-18 , 0.7484338187889084 , 100.0 , 100.0 , 100.0 , 100.0
1.8000000000000005 , 0.1 , -2.5718189643749996E-14 , -1.2683840113506254E-17 , -0.2039920007022881 , -1.0869646394987375E-14 , -5.360752793028532E-18 , 0.7315963546025768 , 100.0 , 100.0 , 100.0 , 100.0
1.9000000000000006 , 0.1 , -3.0558436863124954E-14 , -1.507098021515467E-17 , -0.2752267183802682 , -1.3678842260798209E-14 , -6.746207667692561E-18 , 0.7076354186484461 , 100.0 , 100.0 , 100.0 , 100.0
2.0000000000000004 , 0.1 , -3.597092882337747E-14 , -1.774034316761908E-17 , -0.34646143605824636 , -1.700040859230895E-14 , -8.38435626442033E-18 , 0.6765510109265171 , 100.0 , 100.0 , 100.0 , 100.0
2.1000000000000005 , 0.1 , -4.1987644718289946E-14 , -2.070770064793094E-17 , -0.41769615373622465 , -2.0893168823296496E-14 , -1.0304209452145015E-17 , 0.6383431314367894 , 100.0 , 100.0 , 100.0 , 100.0
2.2000000000000006 , 0.1 , -4.864056374164465E-14 , -2.3988824333121635E-17 , -0.48893087141420294 , -2.541914430691594E-14 , -1.253635526750294E-17 , 0.5930117801792631 , 100.0 , 100.0 , 100.0 , 100.0
2.3000000000000007 , 0.1 , -5.596166508722399E-14 , -2.759948590022262E-17 , -0.5601655890921813 , -3.0643554315700645E-14 , -1.5112958914833562E-17 , 0.5405569571539381 , 100.0 , 100.0 , 100.0 , 100.0
